dictId,index,term,base,level,definition,matchSummary
vocab,1,abroad,,B1,An action done abroad is done in a different country.,term:abroad (term_word)
vocab,3,absence,,B1,Absence is the state of something being away.,term:absence (term_word)
vocab,4,absent,,B1,"If someone or something is absent, they are missing or not in the place they are expected to be.",term:absent (term_word)
vocab,5,absolute,,B2,Something absolute is complete or total.,term:absolute (term_word)
vocab,6,absorb,,B2,To absorb a liquid means to take it inside.,term:absorb (term_word)
vocab,7,absorbing,,C1,something absorbing is so entertaining that you give it all your attention,term:absorbing (term_word)
vocab,8,abstract,,B2,abstract art expresses the artist's ideas or feelings rather than showing the exact appearance of people or things,term:abstract (term_word)
vocab,9,abstract,,B2,an abstract painting or design,term:abstract (term_word)
vocab,10,absurd,,B2,"If something or someone is absurd, they are ridiculous.",term:absurd (term_word)
vocab,11,abundant,,B2,"If something is abundant, then it is available in large quantities.",term:abundant (term_word)
vocab,13,abuse,,B2,To abuse means to hurt someone or something on purpose.,term:abuse (term_word)
vocab,17,academic,,B2,"When something is academic, it relates to schools and education.",term:academic (term_word)
vocab,19,academy,,B2,An academy is a special type of school.,term:academy (term_word)
vocab,21,accent,,B1,An accent is a certain way of speaking that shows where a person is from.,term:accent (term_word)
vocab,22,accept,,A2,To accept something that is offered is to take it.,term:accept (term_word)
vocab,23,acceptance,,B2,"Acceptance is when people agree that an idea, statement, explanation, etc., is right or true.",term:acceptance (term_word)
vocab,24,access,,B1,Access is the right to enter or use something.,term:access (term_word)
vocab,25,accessory,,B2,An accessory is a thing that is added to another thing to make it look better.,term:accessory (term_word)
vocab,26,accident,,A2,"An accident is unexpected, and may cause some trouble.",term:accident (term_word)
vocab,27,accommodate,,B2,To accommodate is to have enough room.,term:accommodate (term_word)
vocab,28,accompany,,B1,To accompany other people means to join them or go with them.,term:accompany (term_word)
vocab,29,accomplish,,B2,To accomplish something means to finish it.,term:accomplish (term_word)
vocab,30,accordingly,,B2,"If someone acts accordingly, they act in a way that is suitable.",term:accordingly (term_word)
vocab,31,account,,A2,An account with a bank is an arrangement to keep one’s money there.,term:account (term_word)
vocab,32,accountable,,B2,"When someone is accountable, he or she is responsible for the effects of his or her actions.",term:accountable (term_word)
vocab,33,accountant,,B2,An accountant is a person whose job is to keep financial accounts for a business.,term:accountant (term_word)
vocab,34,accounting,,B2,People study accounting so they can deal with money and finance properly.,term:accounting (term_word)
vocab,35,accumulate,,B2,To accumulate something is to collect a lot of it over time.,term:accumulate (term_word)
vocab,36,accurate,,B2,"If something is accurate, it is completely correct.",term:accurate (term_word)
vocab,37,accuse,,B2,To accuse someone of something is to blame them for doing it.,term:accuse (term_word)
vocab,38,accustom,,B2,To accustom oneself to something is to get used to it.,term:accustom (term_word)
vocab,39,ache,,B1,"To ache is to hurt, or cause pain.",term:ache (term_word)
vocab,40,achieve,,B1,To achieve something is to successfully do it after trying hard.,term:achieve (term_word)
vocab,41,acid,,B2,An acid is a chemical that can burn or dissolve other substances.,term:acid (term_word)
vocab,45,acquaint,,B2,To acquaint is to get to know something or someone.,term:acquaint (term_word)
vocab,47,acquire,,B2,To acquire something is to get or gain possession of that thing.,term:acquire (term_word)
vocab,48,acquisition,,B2,An acquisition is something that a person buys or gets in some way.,term:acquisition (term_word)
vocab,49,acre,,B2,An acre is a unit for measuring area.,term:acre (term_word)
vocab,50,acrobat,,B2,An acrobat is a person who entertains people by doing amazing physical things.,term:acrobat (term_word)
vocab,51,across,,A2,To go across something is to go to the other side of it.,term:across (term_word)
vocab,52,act,,A1,An act is a single thing that someone does.,term:act (term_word)
vocab,53,active,,A2,"When someone is active, they move a lot or have a lot of things to do.",term:active (term_word)
vocab,54,actual,,B2,Actual means real or true.,term:actual (term_word)
vocab,55,actually,,A2,Actually means in fact or really.,term:actually (term_word)
vocab,56,acute,,B2,"When a bad thing is acute, it is very severe and intense.",term:acute (term_word)
vocab,58,adapt,,B2,To adapt means to change in order to deal with a new situation.,term:adapt (term_word)
vocab,59,addict,,B2,An addict is a person who cannot stop doing something.,term:addict (term_word)
vocab,61,addictive,,B2,"If something is addictive, it is hard to stop doing.",term:addictive (term_word)
vocab,62,addition,,A2,Addition is the act of adding something.,term:addition (term_word)
vocab,63,address,,A1,An address is the details of where someone lives or works.,term:address (term_word)
vocab,64,adequate,,B2,Something adequate is good enough.,term:adequate (term_word)
vocab,65,adhere,,B2,To adhere means to act in the way that a rule or agreement says is right.,term:adhere (term_word)
vocab,66,adjacent,,B2,"When something is adjacent, it is next to or adjoining something else.",term:adjacent (term_word)
vocab,68,adjoin,,B2,To adjoin something means to be next to or attached to something else.,term:adjoin (term_word)
vocab,69,adjoining,,B2,"If something is adjoining, it is next to or joined with a building or room.",term:adjoining (term_word)
vocab,71,administer,,B2,To administer means to take responsibility for organizing something.,term:administer (term_word)
vocab,73,administration,,B2,An administration is the group of people who manage a company or organization.,term:administration (term_word)
vocab,74,administrative,,B2,Administrative describes anything related to managing a company or organization.,term:administrative (term_word)
vocab,75,administrator,,B2,"An administrator is a person who controls a business, company, or organization.",term:administrator (term_word)
vocab,76,admiral,,B2,An admiral is someone who controls many military ships.,term:admiral (term_word)
vocab,77,admission,,B2,Admission is the act of allowing to enter a place.,term:admission (term_word)
vocab,79,admonish,,B2,To admonish someone is to tell them you disapprove of their behavior.,term:admonish (term_word)
vocab,80,adolescent,,B2,An adolescent is a young person or a teenager.,term:adolescent (term_word)
vocab,84,adult,,A1,An adult is a person who is more than 18 years old.,term:adult (term_word)
vocab,85,advance,,B1,To advance is to go forward.,term:advance (term_word)
vocab,86,advantage,,B1,An advantage is something that helps you do better than others.,term:advantage (term_word)
vocab,87,advent,,B2,"An advent is the arrival or beginning of an important person, thing, or event.",term:advent (term_word)
vocab,88,adventure,,A2,An adventure is a fun or exciting thing that you do.,term:adventure (term_word)
vocab,89,adverse,,B2,"Something that has an adverse effect can be harmful, dangerous, or unfavorable.",term:adverse (term_word)
vocab,90,advertise,,B1,To advertise is to describe or draw attention to a product or event by using a public medium.,term:advertise (term_word)
vocab,91,advice,,A2,Advice is an opinion about what to do.,term:advice (term_word)
vocab,92,advise,,B1,To advise someone is to tell them what to do.,term:advise (term_word)
vocab,93,advocacy,,B2,Advocacy is the act of supporting or recommending something.,term:advocacy (term_word)
vocab,94,advocate,,B2,To advocate a plan or idea is to support or suggest it in public.,term:advocate (term_word)
vocab,96,aerial,,B2,"When something is aerial, it relates to being in the air or flying.",term:aerial (term_word)
vocab,97,aesthetic,,B2,"If something is aesthetic, then it is concerned with a love of beauty.",term:aesthetic (term_word)
vocab,98,affair,,B1,An affair is an event or a thing that happened.,term:affair (term_word)
vocab,99,affect,,B1,To affect someone or something is to have an influence over them.,term:affect (term_word)
vocab,100,affection,,B2,Affection is a feeling of liking someone or something.,term:affection (term_word)
vocab,101,afflict,,B2,To afflict someone means to cause them pain or suffering.,term:afflict (term_word)
vocab,102,afflicted,,B2,Afflicted means to suffer physically or mentally.,term:afflicted (term_word)
vocab,103,affluent,,B2,"If someone is affluent, they are wealthy.",term:affluent (term_word)
vocab,104,afford,,B1,To afford something means to have enough money to pay for it.,term:afford (term_word)
vocab,105,afterlife,,B2,The afterlife is a life that some people believe begins when a person dies.,term:afterlife (term_word)
vocab,106,afterward,,A2,Afterward means after an event or time.,term:afterward (term_word)
vocab,107,again,,A1,Again means one more time.,term:again (term_word)
vocab,108,against,,A2,To be against something is to be touching it or opposed to it.,term:against (term_word)
vocab,109,age,,A1,Age is how many years someone has lived.,term:age (term_word)
vocab,110,agency,,B1,An agency is a business or service set up to act for others.,term:agency (term_word)
vocab,111,agenda,,B2,An agenda is a plan or goal that guides someone’s behavior.,term:agenda (term_word)
vocab,112,agent,,B1,An agent is a person who works for a company or another person.,term:agent (term_word)
vocab,115,aggressive,,B2,"If someone is aggressive, then they constantly want to fight or argue.",term:aggressive (term_word)
vocab,119,agree,,A2,To agree is to have the same opinion or belief as another person.,term:agree (term_word)
vocab,120,agreement,,B1,An agreement is a formal decision about future action.,term:agreement (term_word)
vocab,122,agriculture,,B2,Agriculture is the growing of plants and raising of animals for food.,term:agriculture (term_word)
vocab,123,ahead,,A2,"If something is ahead of something else, it is in front of it.",term:ahead (term_word)
vocab,124,aid,,B1,To aid someone means to help them.,term:aid (term_word)
vocab,125,ail,,B2,To ail means to cause pain or trouble.,term:ail (term_word)
vocab,126,ailing,,B2,"If something is ailing, it is sickly or not doing well.",term:ailing (term_word)
vocab,127,aim,,B1,An aim is a goal someone wants to make happen.,term:aim (term_word)
vocab,128,air,,A1,Air is the invisible gas that surrounds the Earth and that people breathe.,term:air (term_word)
vocab,129,aircraft,,B2,"An aircraft is a vehicle that flies in the sky, such as an airplane or helicopter.",term:aircraft (term_word)
vocab,131,airport,,A1,An airport is a place where airplanes take off and land.,term:airport (term_word)
vocab,132,airway,,B2,An airway is the passage by which air reaches a person’s lungs.,term:airway (term_word)
vocab,133,aisle,,B1,An aisle is a space between two things that people use to walk.,term:aisle (term_word)
vocab,134,alarm,,B1,An alarm is something that warns people of danger.,term:alarm (term_word)
vocab,135,albeit,,B2,Albeit means although.,term:albeit (term_word)
vocab,136,alcohol,,A2,Alcohol is a type of drink that can make people drunk.,term:alcohol (term_word)
vocab,137,alert,,B2,To alert someone is to tell or warn that person about something.,term:alert (term_word)
vocab,138,alien,,B1,An alien is a creature from a different world.,term:alien (term_word)
vocab,139,align,,B2,"To align is to support a political group, country, or person that you agree with.",term:align (term_word)
vocab,140,alike,,B1,"If two people or things are alike, they are similar to each other.",term:alike (term_word)
vocab,141,alive,,A2,Someone or something that is alive is not dead.,term:alive (term_word)
vocab,142,all,,A1,All means the whole number or amount of something.,term:all (term_word)
vocab,143,allege,,B2,To allege something is to say that it is true without offering proof.,term:allege (term_word)
vocab,146,alley,,B1,An alley is a narrow road between houses or buildings.,term:alley (term_word)
vocab,147,alliance,,B2,An alliance is a group of people who work together.,term:alliance (term_word)
vocab,148,allocate,,B2,To allocate something means to put it aside for a certain purpose or person.,term:allocate (term_word)
vocab,149,allow,,A2,To allow something to happen means to let it happen.,term:allow (term_word)
vocab,150,allowance,,B1,An allowance is an amount of money given regularly.,term:allowance (term_word)
vocab,151,alloy,,B2,An alloy is a metal made by combining two or more metals.,term:alloy (term_word)
vocab,152,ally,,B2,An ally is someone who agrees to help or support another person or group.,term:ally (term_word)
vocab,153,almost,,A1,Almost means nearly all or nearly all of something.,term:almost (term_word)
