video_id,slide_number,concept,topic,sentence_template,A2_expression,B1_expression,B2_expression,C1_expression,expression_type,notes
1,1,to lose your job,Work,She ___ last month,lost her job,got fired,was made redundant,faced dismissal,vocabulary / idiom,sacked is more British
1,2,to be very angry,Feelings,He ___ when he heard the news,was very angry,flew off the handle,was furious,snapped,vocabulary / idiom / phrasal verb,snap = sudden loss of control
1,3,to meet someone by chance,Relationships,I ___ an old friend at the supermarket,met,bumped into,came across,unexpectedly encountered,phrasal verb / vocabulary,come across is slightly more formal
1,4,to change your opinion,Thinking,She ___ about the plan,changed her mind,had a change of heart,changed her tune,revised her position,vocabulary / idiom,change your tune implies pressure or hypocrisy
1,5,to not understand something,Communication,I ___ what the teacher said,didn't understand,got the wrong end of the stick,missed the point,was baffled by,vocabulary / idiom,baffled = strong confusion
1,6,to work very hard,Work,She ___ to finish the project,worked really hard,put in extra hours,was dedicated to,strived to achieve,vocabulary / phrasal verb,strive is formal and expressive
2,1,to not have enough money,Money,They ___ to pay the rent,didn't have enough money,were short of money,were in debt,faced financial hardship,vocabulary,in debt is more specific than short of money
2,2,to tell a secret or hidden truth,Communication,She finally ___ about what happened,told the truth,came clean,disclosed the truth,asserted what had happened,vocabulary / idiom,allege = not yet proven; assert = confident claim
2,3,to feel very happy,Feelings,I ___ when I got the news,was really happy,brightened up,was delighted,was exhilarated,vocabulary / phrasal verb,exhilarated often has a physical energy sense
2,4,to ignore a problem,Behaviour,He ___ instead of dealing with it,ignored the problem,buried his head in the sand,turned a blind eye to it,remained in a state of denial,vocabulary / idiom,burying your head = hoping it disappears
2,5,to start a new and better life,Personal growth,She decided to ___ after the divorce,start again,turn over a new leaf,make a fresh start,embark on a new chapter,vocabulary / idiom,turn over a new leaf = stop a bad habit
2,6,to gradually get worse,Change,The situation ___,got worse,went downhill,deteriorated,exacerbated over time,vocabulary,exacerbate = make worse; often used with a cause
3,1,to save money carefully,Money,He ___ every month,saved money,cut back on spending,invested wisely,was financially prudent,vocabulary / phrasal verb,prudent is formal and often used in financial contexts
3,2,to have a great relationship with someone,Relationships,They ___ from the moment they met,got on really well,got on like a house on fire,were on good terms,were highly compatible,vocabulary / idiom,house on fire = instant strong connection
3,3,to make someone feel frightened,Behaviour,The manager ___ the team,scared,intimidated,dominated,instilled fear in,vocabulary,intimidate implies deliberate action
3,4,to think carefully before deciding,Thinking,She took time to ___ before answering,think about it,think it over,weigh up her options,contemplate her response,phrasal verb / vocabulary,contemplate = long careful thought
3,5,to stop doing something gradually,Habits,He ___ social media last year,stopped using,cut down on,gradually phased out,progressively disengaged from,vocabulary / phrasal verb,phase out = planned gradual process
3,6,to strongly want something,Desires,She ___ to travel the world,really wanted,was desperate to,was passionate about,yearned to,vocabulary,yearn = deep emotional longing; C1 and above
