dictId,index,tier,term,base,level,definition,vocabPattern,matchSummary
pv,9,weak,blend in,,B2,"If someone or something blends in, they are similar to the other people or objects around them.",,[weak] term:blends (term_word)
pv,11,weak,board up,,B2,To cover a window or door with wooden boards.,,[weak] term:boards (term_word)
pv,17,weak,bring together,,B2,To create a situation in which people meet and do something together.,,[weak] term:together (term_word)
pv,24,weak,buy up,,B2,To buy large amounts of something or all of it that is available.,,[weak] term:buy (term_word)
pv,28,weak,centre around,,B2,"If something centres around someone or something, they are its main subject of attention.",,[weak] term:centres (term_word); [weak] term:around (term_word)
pv,34,weak,check out,,B2,"If information checks out, you feel that it is true after examining it.",,[weak] term:checks (term_word)
pv,47,weak,cool down,,B1,To become cooler or make something cooler.,,[weak] term:cooler (term_word)
pv,56,weak,cut out,,B1,To remove something from a larger piece by cutting.,,[weak] term:cutting (term_word)
pv,59,weak,dig up,,B2,To dig holes in an area of land; to find information by searching; to remove something from underground.,,[weak] term:dig (term_word)
pv,67,weak,dry up,,B2,To stop being available; to become completely dry.,,[weak] term:dry (term_word)
pv,70,weak,fall behind,,B1,To move more slowly than other people so that you are behind them.,,[weak] term:behind (term_word)
pv,76,weak,get (a)round,,B2,"If news gets around, a lot of people hear it.",,[weak] term:gets (term_word)
pv,80,weak,get into,,B1,"If a train, plane, etc. gets into a place, it arrives there.",,[weak] term:gets (term_word)
pv,87,weak,go astray,,B2,To become lost or go to the wrong place; to behave wrongly.,,[weak] term:go (term_word)
pv,93,weak,grow on,,B2,"If something or someone grows on you, you start to like them more.",,[weak] term:grows (term_word)
pv,102,weak,key in,,B1,To put information into a computer or other electronic machine using keys or a keyboard.,,[weak] term:keys (term_word)
pv,112,weak,lie ahead,,B2,"If something lies ahead, it is going to happen to you in the future.",,[weak] term:lies (term_word); [weak] term:ahead (term_word)
pv,114,weak,lock up,,B1,To lock all the doors and windows of a building so that no one can get in.,,[weak] term:lock (term_word)
pv,132,weak,open up,,B1,"To open a locked door, container, or building.",,[weak] term:open (term_word)
pv,140,weak,pay out,,B2,"To spend or pay money, especially a lot of money.",,[weak] term:pay (term_word)
pv,145,weak,pile up,,B2,"If something piles up, the amount of it increases a lot; to accumulate.",,[weak] term:piles (term_word)
pv,170,weak,shout down,,B2,To make it difficult to hear what someone says by shouting while they are speaking.,,[weak] term:shouting (term_word)
pv,177,weak,snow under,,B2,"If you are snowed under, you have too much of something to deal with.",,[weak] term:snowed (term_word)
pv,203,weak,take out,,B1,To take someone to a place like a cinema or a restaurant and usually pay for them.,,[weak] term:take (term_word)
