dictId,index,tier,term,base,level,definition,vocabPattern,matchSummary
vocab,1,strong,abroad,,B1,An action done abroad is done in a different country.,,[strong] term:abroad (term_word)
vocab,3,strong,absence,,B1,Absence is the state of something being away.,term_is,[strong] term:absence (term_word)
vocab,4,strong,absent,,B1,"If someone or something is absent, they are missing or not in the place they are expected to be.",if_term,[strong] term:absent (term_word)
vocab,5,strong,absolute,,B2,Something absolute is complete or total.,something_term,[strong] term:absolute (term_word)
vocab,6,strong,absorb,,B2,To absorb a liquid means to take it inside.,to_term,[strong] term:absorb (term_word)
vocab,7,strong,absorbing,,C1,something absorbing is so entertaining that you give it all your attention,something_term,[strong] term:absorbing (term_word)
vocab,8,strong,abstract,,B2,abstract art expresses the artist's ideas or feelings rather than showing the exact appearance of people or things,,[strong] term:abstract (term_word)
vocab,9,strong,abstract,,B2,an abstract painting or design,an_term,[strong] term:abstract (term_word)
vocab,10,strong,absurd,,B2,"If something or someone is absurd, they are ridiculous.",if_term,[strong] term:absurd (term_word)
vocab,11,strong,abundant,,B2,"If something is abundant, then it is available in large quantities.",if_term,[strong] term:abundant (term_word)
vocab,13,strong,abuse,,B2,To abuse means to hurt someone or something on purpose.,to_term,[strong] term:abuse (term_word)
vocab,17,strong,academic,,B2,"When something is academic, it relates to schools and education.",,[strong] term:academic (term_word)
vocab,19,strong,academy,,B2,An academy is a special type of school.,an_term,[strong] term:academy (term_word)
vocab,21,strong,accent,,B1,An accent is a certain way of speaking that shows where a person is from.,an_term,[strong] term:accent (term_word)
vocab,22,strong,accept,,A2,To accept something that is offered is to take it.,to_term,[strong] term:accept (term_word)
vocab,23,strong,acceptance,,B2,"Acceptance is when people agree that an idea, statement, explanation, etc., is right or true.",term_is,[strong] term:acceptance (term_word)
vocab,24,strong,access,,B1,Access is the right to enter or use something.,term_is,[strong] term:access (term_word)
vocab,25,strong,accessory,,B2,An accessory is a thing that is added to another thing to make it look better.,an_term,[strong] term:accessory (term_word)
vocab,26,strong,accident,,A2,"An accident is unexpected, and may cause some trouble.",an_term,[strong] term:accident (term_word)
vocab,27,strong,accommodate,,B2,To accommodate is to have enough room.,to_term,[strong] term:accommodate (term_word)
vocab,28,strong,accompany,,B1,To accompany other people means to join them or go with them.,to_term,[strong] term:accompany (term_word)
vocab,29,strong,accomplish,,B2,To accomplish something means to finish it.,to_term,[strong] term:accomplish (term_word)
vocab,30,strong,accordingly,,B2,"If someone acts accordingly, they act in a way that is suitable.",if_term,[strong] term:accordingly (term_word)
vocab,31,strong,account,,A2,An account with a bank is an arrangement to keep one’s money there.,an_term,[strong] term:account (term_word)
vocab,32,strong,accountable,,B2,"When someone is accountable, he or she is responsible for the effects of his or her actions.",,[strong] term:accountable (term_word)
vocab,33,strong,accountant,,B2,An accountant is a person whose job is to keep financial accounts for a business.,an_term,[strong] term:accountant (term_word)
vocab,34,strong,accounting,,B2,People study accounting so they can deal with money and finance properly.,,[strong] term:accounting (term_word)
vocab,35,strong,accumulate,,B2,To accumulate something is to collect a lot of it over time.,to_term,[strong] term:accumulate (term_word)
vocab,36,strong,accurate,,B2,"If something is accurate, it is completely correct.",if_term,[strong] term:accurate (term_word)
vocab,37,strong,accuse,,B2,To accuse someone of something is to blame them for doing it.,to_term,[strong] term:accuse (term_word)
vocab,38,strong,accustom,,B2,To accustom oneself to something is to get used to it.,to_term,[strong] term:accustom (term_word)
vocab,39,strong,ache,,B1,"To ache is to hurt, or cause pain.",to_term,[strong] term:ache (term_word)
vocab,40,strong,achieve,,B1,To achieve something is to successfully do it after trying hard.,to_term,[strong] term:achieve (term_word)
vocab,41,strong,acid,,B2,An acid is a chemical that can burn or dissolve other substances.,an_term,[strong] term:acid (term_word)
vocab,45,strong,acquaint,,B2,To acquaint is to get to know something or someone.,to_term,[strong] term:acquaint (term_word)
vocab,47,strong,acquire,,B2,To acquire something is to get or gain possession of that thing.,to_term,[strong] term:acquire (term_word)
vocab,48,strong,acquisition,,B2,An acquisition is something that a person buys or gets in some way.,an_term,[strong] term:acquisition (term_word)
vocab,49,strong,acre,,B2,An acre is a unit for measuring area.,an_term,[strong] term:acre (term_word)
