Concept,A2,B1,B2,C1,C2
To lose your job,She **lost her job**.,She was **made redundant**.,She was **dismissed**.,She was **let go** following a strategic realignment.,She was **outplaced** as part of a workforce reduction.
To express happiness,She was **very happy**.,She was **really pleased**.,She was **over the moon**.,She was **absolutely ecstatic**.,She was in a state of **unadulterated bliss**.
To express disappointment,I'm **sad**.,I'm **a bit disappointed**.,I'm absolutely **gutted**.,I'm **rather disheartened** by the outcome.,I find the outcome **profoundly disheartening**.
To make a suggestion,**Let's go**.,**Why don't we** go?,We **could consider** going.,I'd **suggest** we explore other options.,It might be **prudent to consider** an alternative course of action.
To apologize,**Sorry**.,I'm **so sorry**.,I **apologize** for that.,I'd like to offer my **sincere apologies**.,I **deeply regret** any inconvenience this may have caused.
To ask for permission,**Can I** go?,**Is it okay if** I go?,**Would it be possible for** me to go?,I'd like to **request permission** to go.,I **seek your authorization** to proceed.
To give an opinion,I **think** it's good.,"**In my opinion**, it's good.",I'd **say** it's a solid option.,"**From my perspective**, it's quite effective.",It would appear to be the most **judicious** approach.
To describe a problem,It **doesn't work**.,There's a **problem** with it.,We're **experiencing some issues**.,We've **encountered a technical setback**.,We're facing a significant **operational impediment**.
To talk about the weather,It's **sunny**.,It's a **beautiful day**.,What **lovely weather** we're having.,The weather is **exceptionally pleasant**.,We're being treated to a **spell of glorious sunshine**.
To make a request,**Help** me.,**Could you** help me?,I was wondering **if you could** help.,**Would you be able to** assist me?,I would **greatly appreciate** your assistance with this.
To express uncertainty,I **don't know**.,I'm **not sure**.,I'm **not entirely certain**.,I'm **still unclear** on that point.,There remains a degree of **ambiguity** surrounding the matter.
To give bad news,It's **bad**.,I have some **bad news**.,"**Unfortunately**, I've got some bad news.",I **regret to inform** you that things haven't gone as planned.,It is with some **reluctance** that I convey this unfavorable development.
To show interest,"**Oh, cool**.",That sounds **interesting**.,How **fascinating**.,That's quite **intriguing**.,I find that **exceptionally compelling**.
To end a conversation,**Bye**.,**Nice talking** to you.,It was **great chatting**.,I've **really enjoyed** our conversation.,It's been a **genuine pleasure** speaking with you; let's reconnect soon.
To describe ability,I **can** swim.,I'm **able to** swim.,I **possess the ability** to swim.,I'm quite **proficient** at swimming.,I have **attained a high level of competency** in swimming.
To complain,This is **bad**.,I'm **not happy** with this.,This isn't quite **what I expected**.,I'm afraid this **falls short** of the agreed standard.,This does not **align with** the specifications previously established.
To give instructions,**Do this**.,"**First**, you do this.",The **first step** is to do this.,"**To begin**, you'll need to carry out this step.",**Commence** by executing this procedure with precision.
To make a promise,I'll **do it**.,I **promise** I'll do it.,You have my **word** I'll do it.,I **assure** you I'll take care of it.,I give you my **solemn commitment** that it will be addressed.
To agree,**Yes**.,I **agree**.,That **makes sense**.,I'm in **full agreement**.,I **wholeheartedly concur** with that perspective.
To disagree,**No**.,I **don't think so**.,I'm **not sure I agree**.,"I **see it differently**, I'm afraid.",I **respectfully beg to differ** on that point.
To share something online,I **shared** a photo.,I **posted** a photo online.,I **shared some content** on my profile.,I **uploaded and distributed** the content across my social channels.,I **disseminated** the material via my digital platforms for broader reach.
To say something is popular online,It's **very popular**.,It's **going viral**.,It's **gained a lot of traction** online.,It's **garnered significant engagement** across platforms.,It has achieved **widespread virality** and cross-platform resonance.
To follow someone online,I **like** her page.,I **follow** her account.,I **subscribe to** her content regularly.,I **keep up with** her posts and engage with her online presence.,I actively **monitor her digital output** and engage with her online persona.
To comment on a post,I **wrote a comment**.,I **left a comment** on that post.,I **weighed in on** the discussion with a comment.,I **added my thoughts** to the thread below the post.,I **contributed my perspective** to the online discourse beneath that publication.
To describe a trending topic,**Everyone is talking** about it.,It's **everywhere** right now.,It's currently a **hot topic** online.,It's **dominating the conversation** across social media platforms.,It has **permeated the collective discourse** and captured widespread public attention.
To describe a photo or image,**Nice photo**.,That's a **great picture**.,That's a really **striking image**.,What a **beautifully composed** photograph.,The **composition and lighting** of this image are truly exceptional.
To agree with content online,I **like** this.,This is **so true**.,I can **totally relate** to this.,This **resonates deeply** with my own experience.,The sentiments expressed here **align precisely** with my own convictions.
To describe someone's online presence,She **posts a lot**.,She's **very active** on social media.,She has a **strong online presence**.,She **maintains a highly visible** and engaged digital profile.,She has **cultivated an extensive and influential digital footprint** across multiple platforms.
To describe something as fake or untrue,It's **not real**.,I don't think **that's true**.,That seems to be **misinformation**.,I have serious doubts about the **veracity** of that claim.,The **authenticity** of that assertion appears to be fundamentally compromised.
To talk about unfollowing someone online,I **deleted** him.,I **unfollowed** him online.,I decided to **unfollow and distance** myself online.,I felt it necessary to **remove him** from my social media contacts.,I resolved to **sever all digital connections** with him across social platforms.
To react to offensive online content,That's **not nice**.,That's **really offensive**.,I find that kind of content **quite inappropriate**.,Such material is **wholly unacceptable** and potentially harmful.,Content of this nature is not only **objectionable** but potentially injurious to public discourse.
To talk about screen time,I use my phone **a lot**.,I **spend a lot of time** on my phone.,I tend to be **glued to** my phone most of the day.,My screen time has reached a level I find **rather excessive**.,My level of **digital device engagement** has escalated to a degree I find somewhat disconcerting.
To express gratitude,**Thank you**!,"**Thanks a lot**, I really appreciate it.",I'm really **grateful** for your help.,I'd like to express my **sincere gratitude** for your support.,I am **profoundly indebted** to you for your invaluable assistance.
To express surprise,**Wow**!,I **can't believe** it!,That's really **unexpected**.,"I must say, that's quite **astonishing**.",I find myself utterly **taken aback** by this turn of events.
To talk about future plans,I **will go** to Paris.,I'm **planning to go** to Paris.,I'm **looking forward to** visiting Paris in the near future.,I have **every intention of** travelling to Paris in the coming months.,I am **fully committed to** undertaking a visit to Paris at the earliest opportunity.
To express obligation,I **must** do it.,I **have to** do it.,I'm **obliged** to get it done.,I'm **under an obligation** to see this through.,I find myself **compelled by circumstances** to fulfil this commitment.
To ask for advice,What do I **do**?,What do you think I **should do**?,Could you give me some **advice** on this?,I'd **welcome your guidance** on how to handle this situation.,I would be most grateful for your **considered counsel** on this matter.
To express worry or concern,I'm **scared**.,I'm **a bit worried** about it.,I'm quite **concerned** about how things might turn out.,I have some **reservations** about the possible outcome.,I find myself gripped by considerable **apprehension** regarding the potential repercussions.
To encourage someone,**You can do it**!,"**Keep going**, you're doing great!","**Don't give up**, you're making real progress.",I have **every confidence** that you'll pull through.,Your **perseverance** is commendable; I have no doubt you will prevail.
To recommend something,This is **good**.,You **should try** this.,I'd really **recommend** giving this a go.,I **strongly suggest** you consider this option.,I would **wholeheartedly advocate** for this particular course of action.
To invite someone,**Come with me**.,Do you **want to come** with me?,I'd **love it** if you could join me.,I would be **delighted** if you could accompany me.,It would be a **great honour** if you would consider gracing us with your presence.
To describe a personal achievement,**I did it**!,I **managed to do it**!,I **successfully pulled it off**.,I'm pleased to report that I've **accomplished** what I set out to do.,I have **successfully brought this endeavour** to a most satisfactory conclusion.
To describe something difficult,It's **hard**.,It's quite **difficult**.,It's **more challenging** than I expected.,This **poses a considerable challenge**.,This undertaking proves to be a **formidable and complex** endeavour.
To talk about preferences,I **like** cats.,I **prefer** cats to dogs.,I have a **preference for** cats over dogs.,"I tend to **favour** cats, finding them more suitable to my lifestyle.",I hold a **marked predisposition** towards feline companionship over canine alternatives.
To express contrast,But it's **also** good.,"**On the other hand**, it has some benefits.","**That said**, there are some positive aspects worth noting.","**Nevertheless**, it would be remiss not to acknowledge certain merits.","**Notwithstanding the above**, one must concede the existence of countervailing virtues."
To give an example,**Like this**.,"**For example**, this one.","**To illustrate**, consider this case.","**To cite a pertinent example**, one might consider...","**By way of exemplification**, one may draw attention to the following instance."
To summarize or conclude,"So, it's **good**.","**In short**, it works well.","**To sum up**, it's been a positive experience.","**In conclusion**, the overall outcome has been favourable.","**To distil the matter to its essence**, the results have proven most propitious."
To say you miss someone,I **miss you**.,I've been **thinking about** you a lot.,I really **miss having you around**.,Your **absence has left quite a void**.,One cannot overstate the extent to which your presence is **sorely missed**.
